Timestamp,Coin_type,Mint,Year,Age
3/4/2021 12:08:33,quarter,S,2015,9
3/4/2021 12:09:05,penny,D,2012,12
3/4/2021 12:09:36,penny,D,1975,49
3/4/2021 16:40:48,half dollar coin,D,2000,24
3/4/2021 18:16:18,quarter,D,2001,23
3/4/2021 18:16:46,penny,D,2017,7
3/4/2021 18:17:17,dime,D,2015,9
3/4/2021 18:17:55,nickel,P,2012,12
3/4/2021 18:18:19,penny,D,2020,4
3/4/2021 18:18:50,penny,D,1996,28
3/4/2021 18:19:14,dime,D,2020,4
3/4/2021 18:19:36,nickel,D,2020,4
3/4/2021 18:19:57,penny,D,2017,7
3/4/2021 18:20:36,dime,D,2017,7
3/4/2021 18:21:10,penny,D,1975,49
3/4/2021 18:21:34,dime,D,1997,27
3/4/2021 18:23:01,dollar coin,P,2000,24
3/4/2021 18:23:46,quarter,D,2020,4
3/4/2021 18:24:16,penny,D,2018,6
3/4/2021 18:24:47,quarter,D,2000,24
3/4/2021 18:25:20,quarter,D,1993,31
3/4/2021 18:25:53,penny,D,2006,18
3/4/2021 18:26:28,penny,D,2004,20
3/4/2021 18:27:27,dime,D,2020,4
3/4/2021 18:27:43,penny,D,2011,13
3/4/2021 18:28:35,quarter,D,2003,21
3/4/2021 18:29:09,dime,D,2017,7
3/4/2021 18:29:26,nickel,D,2006,18
3/4/2021 18:29:48,quarter,D,2019,5
3/4/2021 18:30:50,quarter,D,1999,25
3/4/2021 18:31:10,penny,D,1994,30
3/4/2021 18:31:29,penny,D,1986,38
3/4/2021 18:31:58,quarter,D,2018,6
3/4/2021 18:32:34,quarter,D,1992,32
3/4/2021 18:32:53,quarter,D,1999,25
3/4/2021 18:33:15,quarter,D,1987,37
3/4/2021 18:33:35,quarter,D,2019,5
3/4/2021 18:33:53,penny,D,2020,4
3/4/2021 18:34:14,quarter,P,1990,34
3/4/2021 18:34:33,quarter,D,1989,35
3/4/2021 18:35:28,nickel,D,2004,20
3/4/2021 18:35:43,penny,D,1990,34
3/4/2021 18:36:11,quarter,D,2015,9
3/4/2021 18:36:26,nickel,D,2014,10
3/4/2021 18:37:21,quarter,D,1994,30
3/4/2021 18:37:39,dime,D,2020,4
3/4/2021 18:38:01,penny,D,1996,28
3/4/2021 18:38:19,quarter,D,2004,20
3/4/2021 18:38:36,quarter,D,2020,4
3/4/2021 18:38:53,penny,D,2014,10
3/4/2021 18:40:42,penny,D,2006,18
3/4/2021 18:40:58,dime,D,2020,4
3/4/2021 18:41:14,penny,D,2020,4
3/4/2021 18:41:34,penny,D,2020,4
3/4/2021 18:41:55,penny,D,2008,16
3/4/2021 18:42:09,penny,D,2000,24
3/4/2021 18:42:25,dime,D,2017,7
3/5/2021 15:32:33,penny,D,2018,6
3/5/2021 15:32:56,penny,D,1978,46
3/5/2021 15:33:23,dime,D,1989,35
3/5/2021 15:33:52,dime,D,2015,9
3/5/2021 15:34:11,dime,D,1995,29
3/5/2021 15:34:36,nickel,D,2017,7
3/5/2021 15:34:58,nickel,D,2000,24
3/5/2021 15:35:27,quarter,D,2017,7
3/5/2021 15:35:47,quarter,D,1989,35
3/5/2021 15:36:17,quarter,D,2018,6
3/5/2021 15:38:10,dollar coin,P,1797,227
3/5/2021 15:38:24,dollar coin,P,1801,223
3/5/2021 15:41:09,dollar coin,P,1801,223
3/7/2021 21:55:17,quarter,D,1997,27
3/7/2021 21:55:44,quarter,D,1981,43
3/7/2021 21:56:18,quarter,D,2013,11
3/7/2021 21:56:37,quarter,D,2014,10
3/7/2021 21:56:59,quarter,D,2014,10
3/7/2021 21:57:13,quarter,D,2012,12
3/7/2021 21:58:35,penny,,1981,43
3/7/2021 21:58:57,dime,P,2015,9
3/7/2021 21:59:33,dime,D,2015,9
3/7/2021 21:59:51,dime,D,2004,20
3/7/2021 22:00:18,penny,D,1992,32
3/8/2021 10:19:02,penny,D,2019,5
3/8/2021 10:19:27,quarter,D,2018,6
3/8/2021 10:19:50,quarter,D,2002,22
3/8/2021 10:20:12,quarter,D,2012,12
