Timestamp,Initials,Subject,CFUs,Ecoli
11/5/2025 12:59,AA,Hand,115,No
11/5/2025 12:59,AA,Phone,10,No
11/5/2025 12:59,AA,Laptop,28,No
11/5/2025 12:59,A.D.,Hand,50,No
11/5/2025 13:00,JM,Laptop,23,No
11/5/2025 13:00,KW,Hand,11,No
11/5/2025 13:00,RL,Hand,210,No
11/5/2025 13:00,RJ (used AC),Phone,173,No
11/5/2025 13:00,A.D.,Phone,20,No
11/5/2025 13:00,JM,Phone,42,No
11/5/2025 13:00,M.B ,Hand,121,No
11/5/2025 13:01,RL,Phone,20,No
11/5/2025 13:01,KW,Phone,35,No
11/5/2025 13:01,RL,Laptop,9,No
11/5/2025 13:01,A.D,Laptop,1,No
11/5/2025 13:01,JM,Hand,21,No
11/5/2025 13:01,J.A.,Hand,115,No
11/5/2025 13:01,RJ (Used AC),Laptop,44,No
11/5/2025 13:02,M.B,Phone,82,No
11/5/2025 13:02,M.B,Laptop,42,No
11/5/2025 13:02,KW,Laptop,16,No
11/5/2025 13:02,RJ (Used AC),Phone,95,No
11/5/2025 13:03,J.A.,Phone,84,Yes
11/5/2025 13:04,J.A.,Laptop,90,No
11/6/2025 12:23,PB,Hand,3,No
11/6/2025 12:24,GS,Hand,89,No
11/6/2025 12:24,TB,Laptop,2,No
11/6/2025 12:24,YC,Hand,4,No
11/6/2025 12:24,NK,Hand,4,No
11/6/2025 12:24,TB,Hand,20,No
11/6/2025 12:24,VS,Hand,25,No
11/6/2025 12:24,GS,Phone,37,No
11/6/2025 12:24,YC,Phone,3,No
11/6/2025 12:24,AT,Laptop,9,No
11/6/2025 12:24,NK,Laptop,1,No
11/6/2025 12:24,PB,Phone,31,No
11/6/2025 12:25,CT,Hand,17,No
11/6/2025 12:25,VS,Phone,12,No
11/6/2025 12:25,KC,Hand,34,No
11/6/2025 12:25,YC,Laptop,13,No
11/6/2025 12:25,GS,Laptop,13,No
11/6/2025 12:25,VS,Laptop,4,No
11/6/2025 12:25,BTM,Hand,56,No
11/6/2025 12:25,SC,Hand,120,No
11/6/2025 12:25,JD,Hand,350,No
11/6/2025 12:25,KC,Laptop,3,No
11/6/2025 12:25,AM,Phone,27,No
11/6/2025 12:25,AT,Hand,16,No
11/6/2025 12:25,NK,Phone,8,No
11/6/2025 12:25,SC,Phone,5,No
11/6/2025 12:26,TB,Phone,1,No
11/6/2025 12:26,JD,Phone,22,No
11/6/2025 12:26,BTM,Phone,21,No
11/6/2025 12:26,KC,Phone,6,No
11/6/2025 12:26,SC,Laptop,5,No
11/6/2025 12:26,JD,Laptop,6,No
11/6/2025 12:27,AM,Hand,26,No
11/6/2025 12:27,CT,Phone,49,No
11/6/2025 12:27,AM,Laptop,1,No
11/6/2025 12:28,S P,Hand,21,No
11/6/2025 12:28,AM,Hand,6,No
11/6/2025 12:28,CT,Laptop,48,No
11/6/2025 12:29,AM,Phone,6,No
11/6/2025 12:29,KL,Hand,253,No
11/6/2025 12:29,BTM,Laptop,93,No
11/6/2025 12:29,AT,Phone,17,No
11/6/2025 12:29,KL,Phone,1,No
11/6/2025 12:29,DS,Laptop,1,Yes
11/6/2025 12:29,KL,Laptop,1,No
11/6/2025 12:30,SC,Hand,1,No
11/6/2025 12:30,S P,Phone,1,No
11/6/2025 12:30,SC,Phone,6,No
11/6/2025 12:31,S P,Laptop,10,No
11/6/2025 12:31,PB,Laptop,1,No
11/6/2025 12:31,SC,Laptop,9,No
11/6/2025 12:32,SA,Phone,5,No
11/6/2025 12:32,DS,Hand,246,No
11/6/2025 12:32,DS,Phone,1,Yes
11/6/2025 12:35,AM,Phone,5,No
11/6/2025 12:42,SA,Hand,473,Yes
11/6/2025 12:43,SA,Laptop,1,Yes
11/6/2025 12:43,LA,Laptop,1,No
11/6/2025 12:44,LA,Phone,1,No
11/6/2025 12:44,LA,Hand,16,No
