Year ,PM,OC,TC,LC
Year 1,21.7,15.6,17.73,1.78
Year 1,27.8,15.6,17.87,2.25
Year 1,24.7,17.2,18.75,1.98
Year 1,15.3,8.3,9.21,0.67
Year 1,18.4,11.3,12.46,0.86
Year 1,14.4,8.4,9.66,1.93
Year 1,19,13.2,14.73,1.51
Year 1,23.7,11.4,13.23,1.98
Year 1,22.4,13.8,17.08,1.69
Year 1,25.6,13.2,15.86,2.3
Year 1,15,15.7,17.27,1.24
Year 1,17,9.3,10.21,1.44
Year 1,23.2,10.5,11.47,1.43
Year 1,17.7,14.2,15.64,1.07
Year 1,11.1,11.6,13.48,0.59
Year 1,29.8,7,7.795,2.1
Year 1,20,19.9,21.20,1.73
Year 1,21.6,14.8,15.65,1.56
Year 1,14.8,12.6,13.51,1.1
Year 1,21,9.1,9.94,
Year 2,27,15.79,19.46,2.06
Year 2,24.7,13.61,15.98,3.1
Year 2,2 1.8,12.94,15.79,2.68
Year 2,23.2,12.97,16.32,2.8
Year 2,23.3,11.19,13.49,2.07
Year 2,16.2,9.61,12.44,2.14
Year 2,13.4,6.97,8.4,2.32
Year 2,13,7.96,10.02,2.18
Year 2,16.9,8.43,11.08,2.06
Year 2,26.3,14.92,21.46,1.94
Year 2,31.4,17.15,20.57,1.85
Year 2,40.1,15.13,19.64,2.11
Year 2,28,8.66,10.75,2.5
Year 2,4.2,15.95,20.36,2.27
Year 2,15.9,11.73,14.59,2.17
Year 2,20.5,14.34,17.64,2.74
Year 2,23.8,8.99,11.75,2.45
Year 2,14.6,10.63,13.12,
,17.8,,,
