Timestamp,skin_cfu,phone_cfu,sex,shower,cleaning,phone_type
10/28/2024 11:24:25,9,2,Female,No,Almost Never,Apple
10/28/2024 11:26:19,11,12,Female,Yes,Monthly,Apple
10/28/2024 11:26:50,15,45,Female,No,Weekly,Apple
10/28/2024 11:27:11,24,2,Female,No,Monthly,Apple
10/28/2024 11:27:22,250,10,Female,No,Almost Never,Apple
10/28/2024 11:27:41,1,3,Male,Yes,Weekly,Apple
10/28/2024 11:27:44,38,24,Female,Yes,Almost Never,Apple
10/28/2024 11:27:51,3,1,Female,No,Almost Never,Apple
10/28/2024 11:28:15,155,30,Male,Yes,Almost Never,Apple
10/28/2024 11:28:36,500,8,Female,Yes,Monthly,Apple
10/28/2024 11:28:38,22,28,Female,No,Almost Never,Apple
10/28/2024 11:28:51,70,35,Male,Yes,Almost Never,Apple
10/28/2024 11:28:53,160,1,Female,Yes,Weekly,Apple
10/28/2024 11:28:53,100,9,Female,Yes,Monthly,Apple
10/28/2024 11:29:00,30,2,Female,No,Monthly,Apple
10/28/2024 11:29:03,34,79,Female,No,Monthly,Apple
10/28/2024 11:30:16,100,1,Female,No,Almost Never,Apple
10/28/2024 11:31:11,66,36,Female,Yes,Daily,Apple
10/28/2024 11:31:17,4,10,Female,Yes,Almost Never,Apple
10/28/2024 11:35:32,15,3,Male,No,Weekly,Apple
10/28/2024 11:36:21,53,27,Male,Yes,Almost Never,Apple
10/28/2024 12:10:20,934,648,Male,No,Weekly,Apple
